Unnamed: 0,datetime,open,high,low,close,volume,shadow,abs_diff,avg_abs_diff_15d,new_column,signal_1,HL,HC,LC,TR,ATR,Upper Band,Lower Band,Supertrend,In Uptrend,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Chikou Span,Buy Signal,Sell Signal,signal_2,combined_signal,signal,signals,trade_type
1459,2023-09-06,25779.7,26052.0,25326.0,25747.4,251122.66,13.046439628483311,32.29999999999927,1195.9586546540156,0.0,0,726.0,272.2999999999993,453.7000000000007,726.0,435.34000000000015,26995.02,25047.94,25047.94,True,26740.0,27133.85,26936.925,27500.5,29415.5,False,False,0,0.0,0,0,hold
1460,2023-09-07,25747.4,26451.0,25602.3,26240.7,257349.902,-0.42631258868842403,493.2999999999993,1207.3590774378304,0.0,0,848.7000000000007,703.5999999999985,145.10000000000218,848.7000000000007,558.2,27701.25,25047.94,25047.94,True,26535.1,27133.85,26834.475,27500.5,29420.7,False,False,0,0.0,0,0,hold
1461,2023-09-08,26240.7,26437.5,25630.0,25899.8,249269.761,0.7914344382516812,340.90000000000146,1212.4070867602913,0.0,0,807.5,196.79999999999927,610.7000000000007,807.5,648.0599999999998,27977.93,25047.94,25047.94,True,26493.15,27133.85,26813.5,27500.5,29293.3,False,False,0,0.0,0,0,hold
1462,2023-09-09,25899.9,25940.6,25781.5,25892.6,67909.81,15.219178082185515,7.30000000000291,1212.7763539567666,0.0,0,159.09999999999854,40.79999999999927,118.29999999999927,159.09999999999854,582.0199999999998,27607.109999999997,25047.94,25047.94,True,25881.5,27036.55,26459.025,27500.5,29419.5,False,False,0,0.0,0,0,hold
1463,2023-09-10,25892.6,26037.3,25508.7,25828.4,162972.413,4.979750778816436,64.19999999999709,1212.7158729733408,0.0,0,528.5999999999985,144.70000000000073,383.8999999999978,528.5999999999985,613.9799999999996,27614.94,25047.94,25047.94,True,25888.5,26919.2,26403.85,27474.6,29188.8,False,False,0,0.0,0,0,hold
1464,2023-09-11,25828.4,25895.0,24888.0,25150.4,427216.374,0.3870206489675538,678.0,1257.7790698335282,0.0,0,1007.0,66.59999999999854,940.4000000000015,1007.0,670.1799999999996,27402.039999999997,25047.94,25047.94,True,25669.5,26678.45,26173.975,27474.6,28714.4,False,False,0,0.0,0,0,hold
1465,2023-09-12,25150.4,26580.0,25116.4,25825.8,592049.678,-1.1166716020136263,675.3999999999978,1294.6756750492586,0.0,0,1463.5999999999985,1429.5999999999985,34.0,1463.5999999999985,793.1599999999992,28227.68,25047.94,25047.94,True,25734.0,26528.0,26131.0,27474.6,26609.7,False,False,0,0.0,0,0,hold
1466,2023-09-13,25825.8,26400.0,25750.0,26209.9,335252.718,-0.4949231970840861,384.1000000000022,989.6240384684509,0.0,0,650.0,574.2000000000007,75.79999999999927,650.0,761.6599999999992,28359.979999999996,25047.94,25047.94,True,25734.0,26528.0,26131.0,27415.5,26042.1,True,False,1,1.0,1,1,long
1467,2023-09-14,26209.9,26880.0,26106.6,26510.3,380666.471,-1.2306924101198515,300.3999999999978,981.1845534998524,0.0,0,773.4000000000015,670.0999999999985,103.30000000000291,773.4000000000015,884.5199999999998,29146.86,25047.94,25047.94,True,25884.0,26528.0,26206.0,27415.5,26088.3,True,False,1,1.0,1,0,hold
1468,2023-09-15,26510.3,26890.0,26206.6,26591.1,251656.77,-3.6992574257426254,80.79999999999927,651.3715749409271,0.0,0,683.4000000000015,379.7000000000007,303.7000000000007,683.4000000000015,915.4800000000002,29294.739999999998,25047.94,25047.94,True,25889.0,26528.0,26208.5,27415.5,26175.9,True,False,1,1.0,1,0,hold
